library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2022-10-22_thaw-2_antibody_COV3566_0.387_1,2022-10-22_thaw-2_no-antibody_control_1,COV3566,0.387,599069,0.06687,12945,0.001044
Lib-1,2022-10-22_thaw-2_antibody_COV3566_1.548_1,2022-10-22_thaw-2_no-antibody_control_1,COV3566,1.548,760752,0.07402,12945,0.001044
Lib-1,2022-10-22_thaw-2_antibody_COV3566_6.192_1,2022-10-22_thaw-2_no-antibody_control_1,COV3566,6.192,1025185,0.09692,12945,0.001044
