library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2022-10-23_thaw-3_antibody_405C_0.002148_1,2022-10-23_thaw-3_no-antibody_control_1,405C,0.002148,69537,0.003597,4602,0.0002537
Lib-1,2022-10-23_thaw-3_antibody_405C_0.008592_1,2022-10-23_thaw-3_no-antibody_control_1,405C,0.008592,173375,0.01639,4602,0.0002537
Lib-1,2022-10-23_thaw-3_antibody_405C_0.034368_1,2022-10-23_thaw-3_no-antibody_control_1,405C,0.03437,182261,0.01801,4602,0.0002537
