library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2022-10-23_thaw-3_antibody_407C_0.01548_1,2022-10-23_thaw-3_no-antibody_control_1,407C,0.01548,23671,0.001632,4602,0.0002537
Lib-1,2022-10-23_thaw-3_antibody_407C_0.06192_1,2022-10-23_thaw-3_no-antibody_control_1,407C,0.06192,121556,0.0116,4602,0.0002537
Lib-1,2022-10-23_thaw-3_antibody_407C_0.24768_1,2022-10-23_thaw-3_no-antibody_control_1,407C,0.2477,63589,0.006521,4602,0.0002537
