library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2022-11-03_thaw-3_antibody_405C_0.002148_1,2022-11-03_thaw-3_no-antibody_control_1,405C,0.002148,45606,0.007684,13615,0.002351
Lib-1,2022-11-03_thaw-3_antibody_405C_0.006444_1,2022-11-03_thaw-3_no-antibody_control_1,405C,0.006444,180078,0.037,13615,0.002351
Lib-1,2022-11-03_thaw-3_antibody_405C_0.019332_1,2022-11-03_thaw-3_no-antibody_control_1,405C,0.01933,210095,0.04181,13615,0.002351
