library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2023-01-05_thaw-4_antibody_361C_0.037272_1,2023-01-05_thaw-4_no-antibody_control_1,361C,0.03727,1938181,0.2149,608760,0.06691
Lib-1,2023-01-05_thaw-4_antibody_361C_0.074544_1,2023-01-05_thaw-4_no-antibody_control_1,361C,0.07454,3090431,0.3929,608760,0.06691
Lib-1,2023-01-05_thaw-4_antibody_361C_0.149088_1,2023-01-05_thaw-4_no-antibody_control_1,361C,0.1491,2415690,0.3679,608760,0.06691
