library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-2,2023-01-14_thaw-4_antibody_394C_0.046896_1,2023-01-14_thaw-4_no-antibody_control_1,394C,0.0469,1861846,0.1531,433458,0.02853
Lib-2,2023-01-14_thaw-4_antibody_394C_0.093792_1,2023-01-14_thaw-4_no-antibody_control_1,394C,0.09379,2367907,0.1974,433458,0.02853
Lib-2,2023-01-14_thaw-4_antibody_394C_0.187584_1,2023-01-14_thaw-4_no-antibody_control_1,394C,0.1876,1913488,0.168,433458,0.02853
