library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-2,2022-10-22_thaw-2_antibody_COV3366_0.387_1,2022-10-22_thaw-2_no-antibody_control_1,COV3366,0.387,256134,0.01947,41132,0.0007788
Lib-2,2022-10-22_thaw-2_antibody_COV3366_1.548_1,2022-10-22_thaw-2_no-antibody_control_1,COV3366,1.548,619863,0.07494,41132,0.0007788
Lib-2,2022-10-22_thaw-2_antibody_COV3366_6.192_1,2022-10-22_thaw-2_no-antibody_control_1,COV3366,6.192,374333,0.03046,41132,0.0007788
