library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-2,2022-11-03_thaw-3_antibody_405C_0.002148_1,2022-11-03_thaw-3_no-antibody_control_1,405C,0.002148,32188,0.005392,11039,0.001794
Lib-2,2022-11-03_thaw-3_antibody_405C_0.006444_1,2022-11-03_thaw-3_no-antibody_control_1,405C,0.006444,140103,0.02933,11039,0.001794
Lib-2,2022-11-03_thaw-3_antibody_405C_0.019332_1,2022-11-03_thaw-3_no-antibody_control_1,405C,0.01933,138114,0.0337,11039,0.001794
