library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-2,2022-11-03_thaw-3_antibody_407C_0.018181818_1,2022-11-03_thaw-3_no-antibody_control_1,407C,0.01818,33219,0.004936,11039,0.001794
Lib-2,2022-11-03_thaw-3_antibody_407C_0.036363636_1,2022-11-03_thaw-3_no-antibody_control_1,407C,0.03636,92535,0.02341,11039,0.001794
Lib-2,2022-11-03_thaw-3_antibody_407C_0.069090909_1,2022-11-03_thaw-3_no-antibody_control_1,407C,0.06909,83090,0.01889,11039,0.001794
