library,antibody_sample,no-antibody_sample,n_aa_substitutions,antibody_neut_standard_count,no-antibody_neut_standard_count,antibody_count,no-antibody_count,prob_escape_uncensored,prob_escape
Lib-1,2023-03-14_thaw-4_antibody_C68.215_1.798333_1,2023-03-14_thaw-4_no-antibody_control_1,0,1027626,231982,2206164,3253675,0.1531,0.1531
Lib-1,2023-03-14_thaw-4_antibody_C68.215_1.798333_1,2023-03-14_thaw-4_no-antibody_control_1,1,1027626,231982,3311400,4711908,0.1586,0.1586
Lib-1,2023-03-14_thaw-4_antibody_C68.215_1.798333_1,2023-03-14_thaw-4_no-antibody_control_1,2,1027626,231982,2681680,3593369,0.1685,0.1685
Lib-1,2023-03-14_thaw-4_antibody_C68.215_1.798333_1,2023-03-14_thaw-4_no-antibody_control_1,3,1027626,231982,1547162,1970147,0.1773,0.1773
Lib-1,2023-03-14_thaw-4_antibody_C68.215_1.798333_1,2023-03-14_thaw-4_no-antibody_control_1,4,1027626,231982,1111808,1274858,0.1969,0.1969
Lib-1,2023-03-14_thaw-4_antibody_C68.215_44.958325_1,2023-03-14_thaw-4_no-antibody_control_1,0,6106132,231982,1180257,3253675,0.01378,0.01378
Lib-1,2023-03-14_thaw-4_antibody_C68.215_44.958325_1,2023-03-14_thaw-4_no-antibody_control_1,1,6106132,231982,2675235,4711908,0.02157,0.02157
Lib-1,2023-03-14_thaw-4_antibody_C68.215_44.958325_1,2023-03-14_thaw-4_no-antibody_control_1,2,6106132,231982,3239625,3593369,0.03425,0.03425
Lib-1,2023-03-14_thaw-4_antibody_C68.215_44.958325_1,2023-03-14_thaw-4_no-antibody_control_1,3,6106132,231982,2479159,1970147,0.04781,0.04781
Lib-1,2023-03-14_thaw-4_antibody_C68.215_44.958325_1,2023-03-14_thaw-4_no-antibody_control_1,4,6106132,231982,2733588,1274858,0.08146,0.08146
Lib-1,2023-03-14_thaw-4_antibody_C68.215_8.991665_1,2023-03-14_thaw-4_no-antibody_control_1,0,6254024,231982,1228125,3253675,0.014,0.014
Lib-1,2023-03-14_thaw-4_antibody_C68.215_8.991665_1,2023-03-14_thaw-4_no-antibody_control_1,1,6254024,231982,2748502,4711908,0.02164,0.02164
Lib-1,2023-03-14_thaw-4_antibody_C68.215_8.991665_1,2023-03-14_thaw-4_no-antibody_control_1,2,6254024,231982,3288603,3593369,0.03395,0.03395
Lib-1,2023-03-14_thaw-4_antibody_C68.215_8.991665_1,2023-03-14_thaw-4_no-antibody_control_1,3,6254024,231982,2482543,1970147,0.04674,0.04674
Lib-1,2023-03-14_thaw-4_antibody_C68.215_8.991665_1,2023-03-14_thaw-4_no-antibody_control_1,4,6254024,231982,2666903,1274858,0.0776,0.0776
