library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-2,2023-01-14_thaw-4_antibody_362C_0.104472_1,2023-01-14_thaw-4_no-antibody_control_1,362C,0.1045,690327,0.05661,433458,0.02853
Lib-2,2023-01-14_thaw-4_antibody_362C_0.208944_1,2023-01-14_thaw-4_no-antibody_control_1,362C,0.2089,524575,0.08873,433458,0.02853
Lib-2,2023-01-14_thaw-4_antibody_362C_0.313416_1,2023-01-14_thaw-4_no-antibody_control_1,362C,0.3134,1057076,0.09291,433458,0.02853
