library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2023-01-05_thaw-4_antibody_364C_0.046896_1,2023-01-05_thaw-4_no-antibody_control_1,364C,0.0469,1773969,0.1296,608760,0.06691
Lib-1,2023-01-05_thaw-4_antibody_364C_0.093792_1,2023-01-05_thaw-4_no-antibody_control_1,364C,0.09379,2638044,0.2542,608760,0.06691
Lib-1,2023-01-05_thaw-4_antibody_364C_0.187584_1,2023-01-05_thaw-4_no-antibody_control_1,364C,0.1876,3082983,0.4247,608760,0.06691
