library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2023-01-05_thaw-4_antibody_362C_0.052236_1,2023-01-05_thaw-4_no-antibody_control_1,362C,0.05224,803193,0.08227,608760,0.06691
Lib-1,2023-01-05_thaw-4_antibody_362C_0.104472_1,2023-01-05_thaw-4_no-antibody_control_1,362C,0.1045,1309763,0.1834,608760,0.06691
Lib-1,2023-01-05_thaw-4_antibody_362C_0.208944_1,2023-01-05_thaw-4_no-antibody_control_1,362C,0.2089,2188701,0.3075,608760,0.06691
