library,antibody_sample,no-antibody_sample,antibody,antibody_concentration,antibody_count,antibody_frac,no-antibody_count,no-antibody_frac
Lib-1,2023-03-14_thaw-4_antibody_C68.215_1.798333_1,2023-03-14_thaw-4_no-antibody_control_1,C68.215,1.798,1027626,0.08646,231982,0.01543
Lib-1,2023-03-14_thaw-4_antibody_C68.215_8.991665_1,2023-03-14_thaw-4_no-antibody_control_1,C68.215,8.992,6254024,0.335,231982,0.01543
Lib-1,2023-03-14_thaw-4_antibody_C68.215_44.958325_1,2023-03-14_thaw-4_no-antibody_control_1,C68.215,44.96,6106132,0.3316,231982,0.01543
